country,2014_psi,2015_psi,2016_psi,WBCode
Sierra Leone,-0.1,-0.1,-0.16,SLE
El Salvador,-0.02,-0.02,-0.06,SLV
San Marino,0.99,0.92,0.93,SMR
Somalia,-2.52,-2.38,-2.33,SOM
São Tomé and Principe,0.18,0.14,0.23,STP
Suriname,0.25,0.26,0.27,SUR
Slovak Republic,1.04,0.87,0.62,SVK
Slovenia,0.97,0.95,0.99,SVN
Sweden,1.07,0.95,0.98,SWE
Swaziland,-0.5,-0.48,-0.49,SWZ
Seychelles,0.36,0.69,0.72,SYC
Syrian Arab Republic,-2.75,-2.97,-2.91,SYR
Chad,-1.57,-0.97,-1.21,TCD
Togo,-0.17,-0.23,-0.2,TGO
Thailand,-0.91,-0.99,-0.93,THA
Tajikistan,-0.69,-0.88,-0.79,TJK
Turkmenistan,0.07,-0.09,-0.31,TKM
Timor-Leste,-0.18,-0.27,-0.08,TMP
Tonga,0.85,0.89,0.91,TON
Trinidad and Tobago,0.25,0.29,0.28,TTO
Tunisia,-0.85,-0.96,-0.99,TUN
Turkey,-1.09,-1.49,-2,TUR
Tuvalu,1.3,1.39,1.4,TUV
"Taiwan, China",0.77,0.92,0.93,TWN
Tanzania,-0.6,-0.42,-0.41,TZA
Uganda,-0.94,-0.8,-0.72,UGA
Ukraine,-2.02,-1.96,-1.89,UKR
Uruguay,0.99,1,1.1,URY
United States,0.58,0.68,0.35,USA
Uzbekistan,-0.27,-0.37,-0.34,UZB
St. Vincent and the Grenadines,0.82,1,1.01,VCT
"Venezuela, RB",-0.85,-0.98,-1.03,VEN
Virgin Islands (U.S.),1.16,1.25,1,VIR
Vietnam,-0.02,0.07,0.17,VNM
Vanuatu,0.64,0.48,0.51,VUT
West Bank and Gaza,-1.99,-2.16,-2.1,WBG
"Jersey, Channel Islands",1.46,1.53,1.32,JEY
"Yemen, Rep.",-2.67,-2.68,-2.79,YEM
Serbia,0.18,0.24,0.05,SRB
South Africa,-0.15,-0.21,-0.13,ZAF
"Congo, Dem. Rep.",-2.17,-2.15,-2.2,ZAR
Zambia,0.16,0.15,0.18,ZMB
Zimbabwe,-0.71,-0.62,-0.61,ZWE
